location,salary_bin,job_count
"93043, CA, USA",Low,0
"93043, CA, USA",Medium,1
"93043, CA, USA",High,0
"93043, CA, USA",Very High,0
"93043, CA, USA",Ultra High,0
"AK, US",Low,0
"AK, US",Medium,0
"AK, US",High,0
"AK, US",Very High,0
"AK, US",Ultra High,1
"AZ, US",Low,0
"AZ, US",Medium,0
"AZ, US",High,1
"AZ, US",Very High,0
"AZ, US",Ultra High,0
"Abbott Park, IL",Low,1
"Abbott Park, IL",Medium,0
"Abbott Park, IL",High,0
"Abbott Park, IL",Very High,0
"Abbott Park, IL",Ultra High,0
"Aberdeen, WA, USA",Low,0
"Aberdeen, WA, USA",Medium,1
"Aberdeen, WA, USA",High,0
"Aberdeen, WA, USA",Very High,0
"Aberdeen, WA, USA",Ultra High,0
"Addison, TX, US",Low,0
"Addison, TX, US",Medium,0
"Addison, TX, US",High,0
"Addison, TX, US",Very High,1
"Addison, TX, US",Ultra High,0
"Aiken, SC, US",Low,0
"Aiken, SC, US",Medium,0
"Aiken, SC, US",High,1
"Aiken, SC, US",Very High,0
"Aiken, SC, US",Ultra High,0
"Alabama, AL, USA",Low,0
"Alabama, AL, USA",Medium,1
"Alabama, AL, USA",High,0
"Alabama, AL, USA",Very High,0
"Alabama, AL, USA",Ultra High,0
"Alameda, CA",Low,0
"Alameda, CA",Medium,0
"Alameda, CA",High,1
"Alameda, CA",Very High,0
"Alameda, CA",Ultra High,0
"Alameda, CA, US",Low,0
"Alameda, CA, US",Medium,0
"Alameda, CA, US",High,1
"Alameda, CA, US",Very High,0
"Alameda, CA, US",Ultra High,0
"Alameda, CA, USA",Low,0
"Alameda, CA, USA",Medium,2
"Alameda, CA, USA",High,0
"Alameda, CA, USA",Very High,0
"Alameda, CA, USA",Ultra High,0
"Albany, NY",Low,1
"Albany, NY",Medium,2
"Albany, NY",High,1
"Albany, NY",Very High,0
"Albany, NY",Ultra High,0
"Albany, NY, US",Low,1
"Albany, NY, US",Medium,1
"Albany, NY, US",High,1
"Albany, NY, US",Very High,0
"Albany, NY, US",Ultra High,0
"Albany, NY, USA",Low,0
"Albany, NY, USA",Medium,1
"Albany, NY, USA",High,0
"Albany, NY, USA",Very High,0
"Albany, NY, USA",Ultra High,0
"Albany, OR, USA",Low,0
"Albany, OR, USA",Medium,1
"Albany, OR, USA",High,0
"Albany, OR, USA",Very High,0
"Albany, OR, USA",Ultra High,0
"Albuquerque, NM",Low,0
"Albuquerque, NM",Medium,4
"Albuquerque, NM",High,1
"Albuquerque, NM",Very High,0
"Albuquerque, NM",Ultra High,0
"Albuquerque, NM, US",Low,0
"Albuquerque, NM, US",Medium,3
"Albuquerque, NM, US",High,3
"Albuquerque, NM, US",Very High,0
"Albuquerque, NM, US",Ultra High,0
"Albuquerque, NM, USA",Low,1
"Albuquerque, NM, USA",Medium,3
"Albuquerque, NM, USA",High,0
"Albuquerque, NM, USA",Very High,0
"Albuquerque, NM, USA",Ultra High,0
"Alexandria, VA",Low,0
"Alexandria, VA",Medium,2
"Alexandria, VA",High,0
"Alexandria, VA",Very High,0
"Alexandria, VA",Ultra High,0
"Alhambra, CA, USA",Low,1
"Alhambra, CA, USA",Medium,3
"Alhambra, CA, USA",High,0
"Alhambra, CA, USA",Very High,0
"Alhambra, CA, USA",Ultra High,0
"Aliso Viejo, CA, USA",Low,0
"Aliso Viejo, CA, USA",Medium,1
"Aliso Viejo, CA, USA",High,0
"Aliso Viejo, CA, USA",Very High,0
"Aliso Viejo, CA, USA",Ultra High,0
"Allegan, MI, USA",Low,0
"Allegan, MI, USA",Medium,1
"Allegan, MI, USA",High,0
"Allegan, MI, USA",Very High,0
"Allegan, MI, USA",Ultra High,0
"Allentown, PA",Low,0
"Allentown, PA",Medium,1
"Allentown, PA",High,0
"Allentown, PA",Very High,0
"Allentown, PA",Ultra High,0
"Allentown, PA, US",Low,0
"Allentown, PA, US",Medium,1
"Allentown, PA, US",High,0
"Allentown, PA, US",Very High,0
"Allentown, PA, US",Ultra High,0
"Alpharetta, GA",Low,0
"Alpharetta, GA",Medium,1
"Alpharetta, GA",High,0
"Alpharetta, GA",Very High,0
"Alpharetta, GA",Ultra High,0
"Alpharetta, GA, US",Low,0
"Alpharetta, GA, US",Medium,2
"Alpharetta, GA, US",High,0
"Alpharetta, GA, US",Very High,0
"Alpharetta, GA, US",Ultra High,0
"Ames, IA, USA",Low,0
"Ames, IA, USA",Medium,1
"Ames, IA, USA",High,0
"Ames, IA, USA",Very High,0
"Ames, IA, USA",Ultra High,0
"Amherst, NY",Low,0
"Amherst, NY",Medium,0
"Amherst, NY",High,1
"Amherst, NY",Very High,0
"Amherst, NY",Ultra High,0
"Anaheim, CA, USA",Low,0
"Anaheim, CA, USA",Medium,4
"Anaheim, CA, USA",High,1
"Anaheim, CA, USA",Very High,0
"Anaheim, CA, USA",Ultra High,0
"Anchorage, AK",Low,0
"Anchorage, AK",Medium,1
"Anchorage, AK",High,0
"Anchorage, AK",Very High,0
"Anchorage, AK",Ultra High,0
"Anchorage, AK, USA",Low,0
"Anchorage, AK, USA",Medium,4
"Anchorage, AK, USA",High,0
"Anchorage, AK, USA",Very High,0
"Anchorage, AK, USA",Ultra High,0
"Andalusia, AL",Low,0
"Andalusia, AL",Medium,1
"Andalusia, AL",High,0
"Andalusia, AL",Very High,0
"Andalusia, AL",Ultra High,0
"Andalusia, AL, US",Low,0
"Andalusia, AL, US",Medium,1
"Andalusia, AL, US",High,0
"Andalusia, AL, US",Very High,0
"Andalusia, AL, US",Ultra High,0
"Andover, MA",Low,0
"Andover, MA",Medium,1
"Andover, MA",High,0
"Andover, MA",Very High,0
"Andover, MA",Ultra High,0
"Andrews AFB, MD",Low,0
"Andrews AFB, MD",Medium,0
"Andrews AFB, MD",High,1
"Andrews AFB, MD",Very High,0
"Andrews AFB, MD",Ultra High,0
"Andrews AFB, MD, US",Low,0
"Andrews AFB, MD, US",Medium,1
"Andrews AFB, MD, US",High,0
"Andrews AFB, MD, US",Very High,0
"Andrews AFB, MD, US",Ultra High,0
"Ankeny, IA, USA",Low,0
"Ankeny, IA, USA",Medium,1
"Ankeny, IA, USA",High,0
"Ankeny, IA, USA",Very High,0
"Ankeny, IA, USA",Ultra High,0
"Ann Arbor, MI",Low,0
"Ann Arbor, MI",Medium,3
"Ann Arbor, MI",High,0
"Ann Arbor, MI",Very High,0
"Ann Arbor, MI",Ultra High,0
"Ann Arbor, MI, US",Low,0
"Ann Arbor, MI, US",Medium,3
"Ann Arbor, MI, US",High,1
"Ann Arbor, MI, US",Very High,0
"Ann Arbor, MI, US",Ultra High,0
"Antioch, CA, USA",Low,0
"Antioch, CA, USA",Medium,1
"Antioch, CA, USA",High,0
"Antioch, CA, USA",Very High,0
"Antioch, CA, USA",Ultra High,0
"Appleton, WI, USA",Low,0
"Appleton, WI, USA",Medium,1
"Appleton, WI, USA",High,0
"Appleton, WI, USA",Very High,0
"Appleton, WI, USA",Ultra High,0
"Arden Hills, MN",Low,0
"Arden Hills, MN",Medium,1
"Arden Hills, MN",High,0
"Arden Hills, MN",Very High,0
"Arden Hills, MN",Ultra High,0
"Arizona, TX",Low,0
"Arizona, TX",Medium,0
"Arizona, TX",High,1
"Arizona, TX",Very High,0
"Arizona, TX",Ultra High,0
"Arlington, TX, US",Low,0
"Arlington, TX, US",Medium,1
"Arlington, TX, US",High,0
"Arlington, TX, US",Very High,0
"Arlington, TX, US",Ultra High,0
"Arlington, VA",Low,0
"Arlington, VA",Medium,6
"Arlington, VA",High,2
"Arlington, VA",Very High,0
"Arlington, VA",Ultra High,0
"Arlington, VA, US",Low,0
"Arlington, VA, US",Medium,6
"Arlington, VA, US",High,4
"Arlington, VA, US",Very High,0
"Arlington, VA, US",Ultra High,1
"Arlington, VA, USA",Low,0
"Arlington, VA, USA",Medium,3
"Arlington, VA, USA",High,1
"Arlington, VA, USA",Very High,0
"Arlington, VA, USA",Ultra High,0
"Arroyo Grande, CA",Low,0
"Arroyo Grande, CA",Medium,1
"Arroyo Grande, CA",High,0
"Arroyo Grande, CA",Very High,0
"Arroyo Grande, CA",Ultra High,0
"Ashburn, VA",Low,0
"Ashburn, VA",Medium,1
"Ashburn, VA",High,0
"Ashburn, VA",Very High,0
"Ashburn, VA",Ultra High,0
"Ashburn, VA, US",Low,0
"Ashburn, VA, US",Medium,1
"Ashburn, VA, US",High,0
"Ashburn, VA, US",Very High,0
"Ashburn, VA, US",Ultra High,0
"Asheville, NC, US",Low,0
"Asheville, NC, US",Medium,1
"Asheville, NC, US",High,0
"Asheville, NC, US",Very High,0
"Asheville, NC, US",Ultra High,0
"Atlanta, GA",Low,0
"Atlanta, GA",Medium,6
"Atlanta, GA",High,3
"Atlanta, GA",Very High,0
"Atlanta, GA",Ultra High,0
"Atlanta, GA, US",Low,1
"Atlanta, GA, US",Medium,9
"Atlanta, GA, US",High,3
"Atlanta, GA, US",Very High,1
"Atlanta, GA, US",Ultra High,1
"Atlanta, GA, USA",Low,3
"Atlanta, GA, USA",Medium,6
"Atlanta, GA, USA",High,1
"Atlanta, GA, USA",Very High,0
"Atlanta, GA, USA",Ultra High,0
"Auburn Hills, MI",Low,1
"Auburn Hills, MI",Medium,0
"Auburn Hills, MI",High,0
"Auburn Hills, MI",Very High,0
