job_title,average_salary
(HYBRID) Payment/Bank Settlement Tech Business Analyst,83494.0
01008 Assistant Store Manager URGENTLY HIRING,83494.0
1053-IS Business Analyst-Senior,83494.0
10624 - Sr. Business Process Analyst,110854.0
"2024 AFROTECH Conference Attendees - Analyst, Data Analytics (Hybrid)",83494.0
2024 AFROTECH Conference Attendees Only - Product Analyst (Hybrid),118750.0
2024-25 Financial Analyst (K-12 Charter Schools),130000.0
2024-3548,83494.0
"2025 Co-Op, Business Analyst Support",83494.0
2025 Intern - Business Development Analyst,83494.0
2025 Intern - Customer Value Business Analyst,27.5
2025 Launch Program: Business Analyst for Lonely Planet,100000.0
24-5008: Jr. Business Development & Capture Analyst,84332.25
5399 - Business Intelligence Analyst I,69128.0
6027 - Staff Business Systems Analyst,99897.0
93. Senior Logistics Management Specialist,83494.0
ABC - Sr Business Systems Analyst (Previous experience must have Jira/Confluence) - Small Apps - ...,83494.0
AF Fighter Jet Operations Research Analyst SME,210000.0
AI Business Operations Analyst,110000.0
AI/ML Business Analyst 3,83494.0
AMR Business Process Re-Engineering- BOM Analyst,83494.0
AOC IT Business Analyst Senior,56.0
"AOC IT Business Analyst Senior #00041710-21800 & #00030739-21800, Full-Time, Perm, in Any Judiciary",41.5
AP Analyst,83494.0
APPLICATION DEVELOPER,104978.5
APPLICATIONS ANALYST II - EPIC - IT HOAG CLINIC,57.0
AQP Analyst - Business Support Analyst,78278.5
ATM configuration & Troubleshooting Analyst - Quality Analyst,83494.0
"AVP, Fraud Fusion Business Analytics Sr Analyst",120500.0
"AVP, Senior Business Analyst",93848.5
AWS Business Analyst / Data Analyst,53.5
Academy Gold Rising - Shout! Studios - Film and Business Analytics Intern (Summer 2025),83494.0
Access Business Analyst,19.0
Access Business Analyst (Per Diem),19.0
Account Executive,87500.0
Accountant,90000.0
Accountant - Financial Business Analyst,46616.166666666664
Accounting Analyst,36015.5
"Accounting Analyst, Order to Cash",70000.0
Accounting Associate,67500.0
Accounting Intern,16.0
Accounts Payable & Payroll Clerk - 15 Month Fixed Term,31.0
Accounts Payable Analyst II,83494.0
Accounts Receivable Analyst,83494.0
Acoustic Analyst Level 2 / 3 - R10177517,109000.0
Acquisition Financial Analyst,117500.0
Administrative Analyst,90299.0
Administrative Procedure Specialist,27.0
"Advisory Engineer, Services",107720.5
Agenda Services Executive Analyst I/II,52997.25
Agile Business Analyst (Hybrid),57.5
Agile Professional II,112035.0
Air Force Financial Management Business Analyst,87000.0
Alcohol-Overdose SPF-PFS Grant Coordinator (Research Analyst 4),7289.0
"Alternative Investments Business Transformation Business Analyst, Vice President",147500.0
"Americas Complex Investigations, Analyst",80000.0
Analyst,83494.0
Analyst (Web Analytics & Reporting) III,100.0
Analyst - Benefits,68000.0
Analyst - Business Data (Call Center),77058.0
Analyst - Investor Reporting,83494.0
Analyst - Technology Operations BI & Reporting,82500.0
Analyst I - VOA,23.0
Analyst I/II,129135.5
"Analyst II, Campaign Management",83494.0
Analyst IV-Business Performance,90240.0
Analyst Workforce Planning,83494.0
Analyst intern,83494.0
"Analyst, Application Support, II, LS",83494.0
"Analyst, Business Intelligence",93750.0
"Analyst, Business Operations Transformation",83494.0
"Analyst, Business Systems - Compensation - Business Systems",92450.0
"Analyst, Business Systems/ERP",71775.0
"Analyst, CRM",79869.33333333333
"Analyst, Campus Talent Acquisition Operations",78890.5
"Analyst, Capital Markets- Execution",95000.0
"Analyst, Crisis Response",37.5
"Analyst, Financial Reporting & Operations – Specialty Leasing",83494.0
"Analyst, HR Operations Shared Services",73950.0
"Analyst, Inside Sales - Pharmaceutical Customer Sales Representative",20.0
"Analyst, New Supply",83494.0
"Analyst, Operations (On-Site Required Opportunity)",68761.0
"Analyst, Production Support",83494.0
"Analyst, Promotions Analytics",83494.0
"Analyst, Sales Operations",83494.0
"Analyst, Talent Acquisition",83494.0
"Analyst, Technical Operations",72500.0
Analyst-Business Process/SR,95399.25
"Analyst/Associate, Operations",90000.0
Analyst/Programmer 5 (.NET Full Stack Developer - PCN 110300),83494.0
"Analyst/Programmer, Instructional Design & Academic Technology, Temporary",83494.0
Analytics Engineer,108279.0
Annuity / Insurance Operations Analyst,21.0
Anti-Abuse Analyst,83494.0
Application Analyst,40.5
Application Analyst I - Information Services - Full-time - Days,109002.0
"Application Analyst I, IR Health Systems",83494.0
"Application Systems Analyst (Bell Gardens, CA.)",39.5
Application Systems Analyst - Clearance Required,83494.0
Applications & Technology Support Analyst,81700.0
Applications Operations Analyst,25.0
Appraisal Analyst,33.0
Aquatic Invasive Species Budget Coordinator (Financial Analyst III),28.0
Architecture Governance Analyst - Hybrid,157200.0
Area Manager Manufacturing Operations,136766.5
Assistant Branch Manager,83494.0
Assistant Dir of Capital Accounting,109942.0
Assistant Store Manager,19.0
Associate (Entry level Business and Data Analyst),26.0
"Associate Analyst, Brokerage Operations",63363.5
"Associate Analyst, Operations",26.5
Associate Budget Analyst,7127.5
Associate Business Analyst,69120.5
Associate Business Service Analyst,83494.0
"Associate Counsel, General Operations & Software Licensing",83494.0
Associate Data Analyst Marketing Specialist,83494.0
Associate Data Governance Analyst,83494.0
Associate Lead Product Operations Analyst,85000.0
"Associate Principal Analyst, MS Operations, Procedures and Standards",125200.0
Associate Quality Analyst/Quality Analyst - Magna Utah,79800.0
Associate Revenue Cycle Analyst - Prior Authorizations,69950.0
"Associate, Business Analyst",83428.5
Associate/Environmental Analyst/Senior,83494.0
Azure AI Engineer,72.5
Azure AI Lead,70.0
B2B Marketing Manager - Entry Level,60000.0
"B2B Marketing Salesforce Analyst, WW Sales BPR",174550.0
BA Investment Management,83494.0
BA with INVESTMENT MANAGEMENT,129920.5
BA with INVESTMENT MANAGEMENT - Eviden,83494.0
BA/BS Specialist - MRT - 028,41755.0
BAS/BMS Application Engineer,90000.0
BGS GTO Digital Enablement - Operations Program Analyst,91500.0
BI Analyst,62400.0
"BI Analyst, FP & Analysis",89500.0
BI Application Manager,109702.0
BI Help Desk Analyst,53835.25
BI Market Data Analyst,71093.5
BI Senior Analyst,134558.5
BI-Lingual Automotive Sales and Credit Consultant,70000.0
BSA and Fraud Analyst,83494.0
BSA/AML Senior Compliance Analyst,110000.0
BUSINESS ANALYST - EXPENSE MANAGEMENT & CONTROL DEPT. - FIRSTBANK PUERTO RICO,52503.0
BUSINESS ANALYST - PERSI,41762.5
BUSINESS ANALYST ADVANCED - 63349,87188.75
BUSINESS GROWTH CONSULTANT,83494.0
BUSINESS INTELLIGENCE ANALYST I,78042.0
BUSINESS PROCESS ANALYST 3,91475.0
