date_posted,average_salary
0,0.0
1,1.0
2,2.0
3,3.0
4,4.0
5,5.0
6,6.0
7,7.0
8,8.0
9,9.0
10,10.0
11,11.0
12,12.0
13,13.0
14,0.0
15,0.0
16,0.0
17,14.0
18,1.0
19,15.0
20,16.0
21,17.0
22,0.0
23,0.0
24,18.0
25,19.0
26,20.0
27,21.0
28,10.0
29,22.0
30,23.0
31,24.0
32,25.0
33,26.0
34,0.0
35,27.0
36,1.0
37,28.0
38,29.0
39,30.0
40,31.0
41,32.0
42,33.0
43,34.0
44,35.0
45,36.0
46,37.0
47,38.0
48,39.0
49,40.0
50,41.0
51,42.0
52,43.0
53,0.0
54,44.0
55,45.0
56,46.0
57,47.0
58,48.0
59,49.0
60,50.0
61,51.0
62,0.0
63,52.0
64,53.0
65,54.0
66,55.0
67,56.0
68,57.0
69,58.0
70,59.0
71,60.0
72,61.0
73,62.0
74,63.0
75,64.0
76,65.0
77,66.0
78,67.0
79,0.0
80,68.0
81,69.0
82,14.0
83,70.0
84,71.0
85,72.0
86,73.0
87,74.0
88,75.0
89,76.0
90,77.0
91,0.0
92,41.0
93,0.0
94,78.0
95,72.0
96,79.0
97,80.0
98,63.0
99,0.0
100,81.0
101,82.0
102,83.0
103,84.0
104,85.0
105,86.0
106,87.0
107,26.0
108,88.0
109,89.0
110,90.0
111,0.0
112,91.0
113,92.0
114,93.0
115,94.0
116,95.0
117,96.0
118,97.0
119,98.0
120,99.0
121,100.0
122,0.0
123,101.0
124,102.0
125,103.0
126,104.0
127,105.0
128,106.0
129,107.0
130,44.0
131,108.0
132,109.0
133,110.0
134,111.0
135,112.0
136,113.0
137,0.0
138,55.0
139,114.0
140,115.0
141,116.0
142,117.0
143,118.0
144,93.0
145,119.0
146,120.0
147,121.0
148,0.0
149,122.0
150,123.0
151,124.0
152,125.0
153,126.0
154,4.0
155,127.0
156,0.0
157,128.0
158,129.0
159,130.0
160,131.0
161,132.0
162,133.0
163,134.0
164,41.0
165,135.0
166,136.0
167,137.0
168,72.0
169,0.0
170,0.0
171,0.0
172,87.0
173,138.0
174,139.0
175,140.0
176,0.0
177,141.0
178,142.0
179,143.0
180,144.0
181,145.0
182,108.0
183,146.0
184,147.0
185,148.0
186,1.0
187,149.0
188,98.0
189,115.0
190,0.0
191,150.0
192,151.0
193,152.0
194,153.0
195,154.0
196,155.0
197,156.0
198,154.0
199,157.0
200,158.0
201,159.0
202,160.0
203,161.0
204,162.0
205,163.0
206,41.0
207,35.0
208,164.0
209,165.0
210,166.0
211,0.0
212,167.0
213,0.0
214,168.0
215,115.0
216,169.0
217,0.0
218,170.0
219,171.0
220,172.0
221,173.0
222,174.0
223,13.0
224,175.0
225,0.0
226,0.0
227,176.0
228,177.0
229,178.0
230,49.0
231,0.0
232,127.0
233,179.0
234,180.0
235,0.0
236,181.0
237,0.0
238,182.0
239,183.0
240,184.0
241,185.0
242,4.0
243,186.0
244,187.0
245,102.0
246,188.0
247,189.0
248,49.0
249,190.0
250,189.0
251,191.0
252,192.0
253,193.0
254,55.0
255,124.0
256,194.0
257,195.0
258,196.0
259,197.0
260,0.0
261,198.0
262,199.0
263,200.0
264,201.0
265,202.0
266,203.0
267,204.0
268,108.0
269,205.0
270,206.0
271,207.0
272,208.0
273,209.0
274,0.0
275,137.0
276,104.0
277,210.0
278,211.0
279,212.0
280,213.0
281,214.0
282,215.0
283,14.0
284,126.0
285,0.0
286,216.0
287,217.0
288,86.0
289,218.0
290,219.0
291,220.0
292,221.0
293,157.0
294,47.0
295,124.0
296,222.0
297,223.0
298,224.0
299,225.0
300,226.0
301,227.0
302,0.0
303,143.0
304,228.0
305,0.0
306,229.0
307,230.0
308,231.0
309,124.0
310,232.0
311,233.0
312,234.0
313,0.0
314,235.0
315,236.0
316,237.0
317,13.0
318,238.0
319,239.0
320,105.0
321,240.0
322,241.0
323,242.0
324,243.0
325,0.0
326,244.0
327,245.0
328,0.0
329,26.0
330,246.0
331,247.0
332,18.0
333,248.0
334,249.0
335,0.0
336,250.0
337,251.0
338,252.0
339,44.0
340,253.0
341,0.0
342,105.0
343,254.0
344,174.0
345,124.0
346,255.0
347,149.0
348,0.0
349,256.0
350,257.0
351,258.0
352,259.0
353,260.0
354,261.0
355,133.0
356,262.0
357,263.0
358,264.0
359,0.0
360,265.0
361,266.0
362,267.0
363,268.0
364,269.0
365,270.0
366,271.0
367,272.0
368,273.0
369,274.0
370,235.0
371,275.0
372,174.0
373,67.0
374,0.0
375,276.0
376,47.0
377,133.0
378,206.0
379,143.0
380,0.0
381,277.0
382,278.0
383,279.0
384,97.0
385,10.0
386,280.0
387,281.0
388,282.0
389,218.0
390,283.0
391,284.0
392,285.0
393,286.0
394,0.0
395,0.0
396,287.0
397,116.0
398,288.0
399,0.0
400,289.0
401,290.0
402,291.0
403,116.0
404,36.0
405,124.0
406,292.0
407,293.0
408,294.0
409,295.0
410,296.0
411,143.0
412,297.0
413,298.0
414,299.0
415,118.0
416,0.0
417,93.0
418,300.0
419,301.0
420,302.0
421,63.0
422,295.0
423,0.0
424,72.0
425,303.0
426,304.0
427,305.0
428,306.0
429,307.0
430,63.0
431,308.0
432,309.0
433,0.0
434,133.0
435,310.0
436,311.0
437,312.0
438,313.0
439,314.0
440,168.0
441,315.0
442,316.0
443,317.0
444,318.0
445,319.0
446,320.0
447,321.0
448,0.0
449,322.0
450,323.0
451,324.0
452,325.0
453,326.0
454,327.0
455,130.0
456,328.0
457,329.0
458,330.0
459,331.0
460,332.0
461,260.0
462,333.0
463,334.0
464,335.0
465,336.0
466,206.0
467,337.0
468,139.0
469,338.0
470,339.0
471,340.0
472,341.0
473,342.0
474,340.0
475,343.0
476,344.0
477,36.0
478,345.0
479,44.0
480,346.0
481,347.0
482,55.0
483,0.0
484,348.0
485,349.0
486,101.0
487,350.0
488,296.0
489,163.0
490,351.0
491,63.0
492,352.0
493,353.0
494,354.0
495,355.0
496,356.0
497,357.0
498,49.0
499,41.0
500,358.0
501,105.0
502,59.0
503,147.0
504,0.0
505,10.0
506,359.0
507,360.0
508,361.0
509,143.0
510,362.0
511,143.0
512,363.0
513,143.0
514,364.0
515,0.0
516,365.0
517,366.0
518,235.0
519,325.0
520,367.0
521,368.0
522,351.0
523,369.0
524,0.0
525,147.0
526,370.0
527,371.0
528,372.0
529,370.0
530,116.0
531,373.0
532,26.0
533,168.0
534,374.0
535,375.0
536,209.0
537,0.0
538,376.0
539,377.0
540,378.0
541,49.0
542,379.0
543,18.0
544,21.0
545,380.0
546,381.0
547,382.0
548,383.0
549,206.0
550,377.0
551,384.0
552,385.0
553,386.0
554,35.0
555,0.0
556,174.0
557,387.0
558,388.0
559,0.0
560,389.0
561,390.0
562,174.0
563,391.0
564,392.0
565,0.0
566,393.0
567,14.0
568,394.0
569,395.0
570,0.0
571,0.0
572,396.0
573,0.0
574,0.0
575,49.0
576,1.0
577,397.0
578,86.0
579,398.0
580,399.0
581,400.0
582,401.0
583,4.0
584,402.0
585,4.0
586,403.0
587,404.0
588,405.0
589,0.0
590,406.0
591,407.0
592,408.0
593,377.0
594,22.0
595,409.0
596,0.0
597,0.0
598,267.0
599,410.0
600,411.0
601,412.0
602,377.0
603,205.0
604,295.0
605,97.0
606,413.0
607,26.0
608,414.0
609,63.0
610,0.0
611,415.0
612,416.0
613,0.0
614,58.0
615,417.0
616,418.0
617,411.0
618,419.0
619,420.0
620,421.0
621,265.0
622,422.0
623,423.0
624,0.0
625,424.0
626,425.0
627,116.0
628,426.0
629,427.0
630,428.0
631,0.0
632,429.0
633,44.0
634,430.0
635,431.0
636,432.0
637,433.0
638,434.0
