id,site_x,job_url_x,job_url_direct_x,company_x,location_x,date_posted_x,job_type_x,salary_source_x,interval_x,min_amount_x,max_amount_x,currency_x,is_remote_x,listing_type_x,emails_x,company_industry_x,company_url_x,company_logo_x,company_url_direct_x,company_addresses_x,company_num_employees_x,company_revenue_x,company_description_x,site_y,job_url_y,job_url_direct_y,title_y,company_y,location_y,date_posted_y,job_type_y,salary_source_y,interval_y,min_amount_y,max_amount_y,currency_y,is_remote_y,listing_type_y,emails_y,description_y,company_industry_y,company_url_y,company_logo_y,company_url_direct_y,company_addresses_y,company_num_employees_y,company_revenue_y,company_description_y,skills,skills_count,job_category,job_category_encoded,location_x_encoded,is_remote_x_encoded,average_salary,predicted_job_category,actual_job_category,accuracy
gd-1009382148966,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009382148966,,SunTree Snack Foods,"Phoenix, AZ",2024-11-22,,direct_data,yearly,100000.0,100000.0,USD,False,sponsored,,,https://www.glassdoor.com/Overview/W-EI_IE3261953.htm,https://media.glassdoor.com/sql/3261953/suntree-snack-foods-squarelogo-1583229565259.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,2,1,0,100000.0,,Other,Incorrect
gd-1009528629297,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009528629297,,SIXT USA,"Saint Paul, MN",2024-11-16,,direct_data,hourly,23.0,23.0,USD,False,sponsored,,,https://www.glassdoor.com/Overview/W-EI_IE10875.htm,https://media.glassdoor.com/sql/10875/sixt-squareLogo-1683190170936.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,2,2,0,23.0,,Other,Incorrect
gd-1009528629597,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009528629597,,SIXT USA,"Salt Lake City, UT",2024-11-16,,direct_data,yearly,41727.0,60370.0,USD,False,sponsored,,,https://www.glassdoor.com/Overview/W-EI_IE10875.htm,https://media.glassdoor.com/sql/10875/sixt-squareLogo-1683190170936.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,2,3,0,51048.5,,Other,Incorrect
gd-1009528640229,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009528640229,,Workflow Technologies Inc,"Tallahassee, FL",2024-11-16,,direct_data,hourly,60.0,70.0,USD,False,organic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Other,2,4,0,65.0,,Other,Incorrect
gd-1009528786729,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009528786729,,Atlassian,"San Francisco, CA",2024-11-16,,direct_data,yearly,123700.0,198700.0,USD,False,organic,,,https://www.glassdoor.com/Overview/W-EI_IE115699.htm,https://media.glassdoor.com/sql/115699/atlassian-squarelogo-1505156989127.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Other,2,5,0,161200.0,,Other,Incorrect
gd-1009528788247,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009528788247,,REI (Recreational Equipment Inc.),"Seattle, WA",2024-11-16,,direct_data,yearly,96400.0,154300.0,USD,False,organic,,,https://www.glassdoor.com/Overview/W-EI_IE7319.htm,https://media.glassdoor.com/sql/7319/rei-squarelogo-1563813069794.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Other,2,6,0,125350.0,,Other,Incorrect
gd-1009528955571,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009528955571,,King County,"Seattle, WA",2024-11-16,,direct_data,yearly,113942.0,143250.0,USD,False,organic,,,https://www.glassdoor.com/Overview/W-EI_IE138778.htm,https://media.glassdoor.com/sql/138778/king-county-squarelogo.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Other,2,6,0,128596.0,,Other,Incorrect
gd-1009529112253,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009529112253,,Paycom Payroll Llc,"Oklahoma City, OK",2024-11-16,,direct_data,yearly,62818.0,90728.0,USD,False,organic,,,https://www.glassdoor.com/Overview/W-EI_IE136736.htm,https://media.glassdoor.com/sql/136736/paycom-squareLogo-1689773013428.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Other,2,7,0,76773.0,,Other,Incorrect
gd-1009529162795,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009529162795,,"TCG, Inc.","Washington, DC",2024-11-16,,direct_data,yearly,93400.0,135000.0,USD,False,organic,,,https://www.glassdoor.com/Overview/W-EI_IE331765.htm,https://media.glassdoor.com/sql/331765/tcg-inc-squarelogo-1514585748362.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Other,2,8,0,114200.0,,Other,Incorrect
gd-1009529212614,glassdoor,https://www.glassdoor.com/job-listing/j?jl=1009529212614,,Tech Army,"Tallahassee, FL",2024-11-16,,direct_data,hourly,60.0,60.0,USD,False,organic,,,https://www.glassdoor.com/Overview/W-EI_IE2169560.htm,https://media.glassdoor.com/sql/2169560/tech-army-squarelogo-1573624110394.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Analyst,0,4,0,60.0,,Analyst,Incorrect
